batter,Name,launch_angle,launch_speed,bat_speed,release_speed,squared_up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595777,Jurickson Profar,-11,98.2,73.251,82.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669224,Austin Wells,8,103.7,74.2956,85.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572138,Jon Singleton,43,66.5,63.9762,89.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673237,Yainer Diaz,14,99.8,73.2554,89.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664023,Ian Happ,75,81.2,70.1928,91.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680869,Zack Gelof,-1,64.6,66.591,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624424,Michael Conforto,13,106.5,80.1992,83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545361,Mike Trout,44,84.8,71.4393,94.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668804,Bryan Reynolds,0,100,74.9665,89.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592518,Manny Machado,51,59.7,73.7152,81.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606192,Teoscar Hernandez,47,90.5,69.3027,93,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676116,Ryan Noda,-76,42.7,46.2205,89.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682829,Elly De La Cruz,19,109.1,76.8495,80.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592669,Hunter Renfroe,-27,64,58.483,81.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553993,Eugenio Suarez,13,100.8,78.6985,95.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665828,Oswaldo Cabrera,-30,65.6,71.0398,88.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624415,Cavan Biggio,34,96.9,66.437,92.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665833,Oneil Cruz,38,103,77.4895,88.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657077,Alex Verdugo,-42,75.3,65.3444,84.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650559,Bryan De La Cruz,30,68.3,63.7132,82.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624512,Reese McGuire,-15,92.7,66.1309,89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641584,Jake Fraley,24,96.4,70.6317,83.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668227,Randy Arozarena,-1,81.3,74.4497,90.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545121,Ildemaro Vargas,-6,96.3,66.7383,95.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547180,Bryce Harper,-54,74.1,74.0558,84.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665839,Enmanuel Valdez,22,78.8,73.9974,81.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624585,Jorge Soler,11,98,68.8641,96.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
